Date,Open,High,Low,Close,Adj Close,Volume
2021-12-27,30.440001,31.230000,30.240000,31.040001,19.029440,17868100
2021-12-28,31.260000,31.469999,31.000000,31.059999,19.041702,8078000
2021-12-29,31.010000,31.340000,30.750000,30.950001,18.974266,11460950
2021-12-30,30.950001,31.129999,30.549999,30.700001,18.821001,34157000
2022-01-03,30.840000,31.670000,30.760000,31.520000,19.323711,15578500
2022-01-04,31.570000,32.189999,31.280001,31.920000,19.568937,17337100
2022-01-05,32.000000,32.060001,30.559999,30.610001,18.765823,29552100
2022-01-06,30.740000,31.430000,30.459999,30.580000,18.747433,30193600
2022-01-07,30.760000,30.990000,30.530001,30.830000,18.900700,16889100
2022-01-10,30.700001,31.059999,30.389999,30.719999,18.833260,17334600
2022-01-11,30.850000,32.090000,30.650000,31.990000,19.611851,30661100
2022-01-12,32.180000,33.250000,32.150002,33.049999,20.261696,25548000
2022-01-13,32.849998,34.450001,32.830002,33.849998,20.752144,32479700
2022-01-14,34.070000,34.740002,33.619999,34.560001,21.187420,28261000
2022-01-17,34.419998,34.939999,34.270000,34.450001,21.119982,7079200
2022-01-18,34.529999,34.930000,33.810001,34.570000,21.193550,14950100
2022-01-19,34.810001,35.150002,34.250000,34.250000,20.997370,19605900
2022-01-20,34.500000,34.840000,34.020000,34.470001,21.132244,18238900
2022-01-21,34.250000,34.820000,34.189999,34.590000,21.205811,16277600
2022-01-24,34.450001,35.080002,33.369999,34.650002,21.242596,25099100
2022-01-25,34.380001,36.020000,34.119999,35.799999,21.947615,21039200
2022-01-26,36.000000,37.400002,36.000000,36.849998,22.591330,22400800
2022-01-27,37.169998,37.660000,36.560001,36.990002,22.677160,27254700
2022-01-28,36.849998,37.799999,35.470001,35.889999,22.002789,24342500
2022-01-31,36.049999,36.169998,35.029999,35.270000,21.622694,22445000
2022-02-01,35.160000,36.459999,34.730000,36.310001,22.260279,19064200
2022-02-02,36.610001,36.619999,35.400002,35.660000,21.861788,11735200
2022-02-03,35.470001,35.480000,34.680000,35.279999,21.628822,16656900
2022-02-04,35.509998,36.580002,35.130001,35.910000,22.015053,25527800
2022-02-07,35.860001,35.950001,35.330002,35.480000,21.751434,20018000
2022-02-08,35.230000,35.299999,34.419998,34.970001,21.438774,16102100
2022-02-09,35.029999,35.900002,34.730000,35.000000,21.457165,10506700
2022-02-10,35.189999,36.099998,35.049999,35.599998,21.825001,14021700
2022-02-11,35.820000,37.259998,35.580002,37.200001,22.805902,26448100
2022-02-14,37.200001,37.389999,36.000000,36.240002,22.217365,13473300
2022-02-15,36.000000,36.049999,34.939999,35.490002,21.757568,14294900
2022-02-16,35.750000,37.060001,35.750000,36.270000,22.235756,18446000
2022-02-17,36.139999,36.580002,35.790001,36.099998,22.131535,10212000
2022-02-18,35.900002,36.180000,35.360001,35.869999,21.990528,14031600
2022-02-21,35.880001,37.080002,35.880001,36.840000,22.585199,6224000
2022-02-22,37.220001,37.639999,35.799999,36.270000,22.235756,21847400
2022-02-23,36.470001,36.799999,36.040001,36.279999,22.241884,19561500
2022-02-24,37.000000,37.650002,34.939999,35.709999,21.892441,23081700
2022-02-25,35.599998,36.480000,35.209999,36.369999,22.297060,20527100
